Unnamed: 0,Close,Date,High,Low,Market Cap,Open,Volume
0,0.631997,"May 24, 2018",0.640258,0.589272,23482900000,0.599207,440533000
1,0.599594,"May 23, 2018",0.649121,0.586997,25419900000,0.648634,482481000
2,0.645567,"May 22, 2018",0.682933,0.644588,26733500000,0.682151,234713000
3,0.681587,"May 21, 2018",0.703051,0.676203,27450300000,0.700441,250481000
4,0.700244,"May 20, 2018",0.704614,0.673348,26541700000,0.677258,275614000
5,0.676713,"May 19, 2018",0.69045,0.665896,26678900000,0.680759,249039000
6,0.680294,"May 18, 2018",0.685625,0.65339,26077000000,0.6654,344944000
7,0.66731,"May 17, 2018",0.714618,0.661213,27957600000,0.713388,337999000
8,0.714081,"May 16, 2018",0.714081,0.669438,27273100000,0.69592,429642000
9,0.698588,"May 15, 2018",0.752269,0.692667,28958900000,0.738938,422980000
10,0.740898,"May 14, 2018",0.756983,0.707693,29184800000,0.744701,613462000
11,0.745748,"May 13, 2018",0.758977,0.680971,27357900000,0.698085,532488000
12,0.696735,"May 12, 2018",0.714918,0.639771,26875400000,0.685772,596685000
13,0.684948,"May 11, 2018",0.761326,0.656026,29641400000,0.756578,991409000
14,0.758237,"May 10, 2018",0.808914,0.757342,31468500000,0.803212,399324000
15,0.802043,"May 09, 2018",0.819969,0.7703,31867300000,0.813393,611575000
16,0.81397,"May 08, 2018",0.846992,0.803568,32638900000,0.833086,465041000
17,0.832641,"May 07, 2018",0.871236,0.812933,34132600000,0.871214,602535000
18,0.871424,"May 06, 2018",0.918675,0.855972,35426400000,0.904235,640057000
19,0.905103,"May 05, 2018",0.922354,0.895562,35086600000,0.895562,668800000
20,0.895442,"May 04, 2018",0.927695,0.866922,34537000000,0.881536,1007610000
21,0.884466,"May 03, 2018",0.892916,0.847319,33632400000,0.85898,725229000
22,0.859094,"May 02, 2018",0.86428,0.831713,32864000000,0.839355,544426000
23,0.841407,"May 01, 2018",0.842069,0.797826,32818400000,0.838355,630809000
24,0.837938,"Apr 30, 2018",0.876788,0.831208,34112200000,0.871404,575364000
25,0.872778,"Apr 29, 2018",0.904945,0.83448,33837900000,0.864399,896314000
26,0.863804,"Apr 28, 2018",0.887591,0.812063,31789200000,0.812063,788719000
27,0.813885,"Apr 27, 2018",0.859641,0.813885,33318900000,0.851139,673793000
28,0.852414,"Apr 26, 2018",0.852414,0.771787,31386400000,0.801774,1028590000
29,0.800607,"Apr 25, 2018",0.932771,0.779231,36514500000,0.932771,1614050000
30,0.934781,"Apr 24, 2018",0.96561,0.873566,34292500000,0.876012,1572930000
31,0.876657,"Apr 23, 2018",0.88629,0.863304,33903000000,0.866578,674545000
32,0.869995,"Apr 22, 2018",0.911901,0.848091,33912400000,0.86682,946399000
33,0.873103,"Apr 21, 2018",0.925021,0.821113,36189400000,0.925021,1563970000
34,0.924465,"Apr 20, 2018",0.938354,0.791172,30952900000,0.791172,2344070000
35,0.791976,"Apr 19, 2018",0.791976,0.706841,27857700000,0.712059,878328000
36,0.708932,"Apr 18, 2018",0.721426,0.657052,25705700000,0.657052,624049000
37,0.656933,"Apr 17, 2018",0.677356,0.654346,26012300000,0.66489,442353000
38,0.663297,"Apr 16, 2018",0.687165,0.63861,26693300000,0.682296,531996000
39,0.682534,"Apr 15, 2018",0.682534,0.634143,24838400000,0.634883,609637000
40,0.632184,"Apr 14, 2018",0.661508,0.616307,24936100000,0.63738,626268000
41,0.638087,"Apr 13, 2018",0.693112,0.605816,24651000000,0.630093,1245170000
42,0.628737,"Apr 12, 2018",0.644518,0.506543,21058600000,0.538657,1346740000
43,0.539506,"Apr 11, 2018",0.548455,0.489026,19256700000,0.492568,341707000
44,0.491931,"Apr 10, 2018",0.493645,0.482839,19239800000,0.492134,154495000
45,0.491855,"Apr 09, 2018",0.512142,0.482573,19594200000,0.501201,271775000
46,0.500398,"Apr 08, 2018",0.501418,0.487591,19087000000,0.488227,137548000
47,0.487867,"Apr 07, 2018",0.495667,0.474575,18642300000,0.476851,209076000
48,0.476431,"Apr 06, 2018",0.49809,0.465615,19343200000,0.494781,218156000
49,0.495801,"Apr 05, 2018",0.505882,0.48449,19623500000,0.50195,358755000
50,0.501631,"Apr 04, 2018",0.563117,0.498487,21680600000,0.554569,415258000
51,0.558044,"Apr 03, 2018",0.562698,0.499658,19607200000,0.501533,578239000
52,0.500688,"Apr 02, 2018",0.510446,0.478596,19002500000,0.486067,262342000
53,0.485081,"Apr 01, 2018",0.515437,0.466223,20088900000,0.513854,297869000
54,0.512353,"Mar 31, 2018",0.529406,0.505167,19962300000,0.510617,293208000
55,0.509565,"Mar 30, 2018",0.531276,0.484362,20065800000,0.513268,518219000
56,0.511511,"Mar 29, 2018",0.57864,0.511511,22587400000,0.577767,420550000
57,0.578002,"Mar 28, 2018",0.594023,0.572828,22577300000,0.577511,258298000
58,0.577917,"Mar 27, 2018",0.604332,0.565132,23418400000,0.599026,351381000
59,0.599463,"Mar 26, 2018",0.644121,0.585922,25125200000,0.642683,384505000
60,0.641875,"Mar 25, 2018",0.657213,0.631901,24966800000,0.638632,229352000
61,0.641265,"Mar 24, 2018",0.679608,0.640516,25263200000,0.646214,390740000
62,0.643174,"Mar 23, 2018",0.663111,0.625258,25923800000,0.663111,387164000
63,0.662743,"Mar 22, 2018",0.701351,0.636741,27097900000,0.693145,449042000
64,0.693664,"Mar 21, 2018",0.72061,0.679162,27876200000,0.713055,527324000
65,0.709808,"Mar 20, 2018",0.736759,0.673427,28802900000,0.736759,814276000
66,0.74908,"Mar 19, 2018",0.74908,0.640012,26274600000,0.672126,1096930000
67,0.658777,"Mar 18, 2018",0.677591,0.548815,24802400000,0.634466,923606000
68,0.637856,"Mar 17, 2018",0.689434,0.626709,26885100000,0.687745,319824000
69,0.68926,"Mar 16, 2018",0.71178,0.674463,27327600000,0.699063,502740000
70,0.697269,"Mar 15, 2018",0.730673,0.643845,27478100000,0.702913,888345000
71,0.701902,"Mar 14, 2018",0.79908,0.67601,30865600000,0.789569,479149000
72,0.789711,"Mar 13, 2018",0.805729,0.778471,31213000000,0.798451,279679000
73,0.801048,"Mar 12, 2018",0.838328,0.787882,32529500000,0.832127,355031000
74,0.831122,"Mar 11, 2018",0.840407,0.775737,31108000000,0.795765,472972000
75,0.796627,"Mar 10, 2018",0.860443,0.793736,33418600000,0.854872,402670000
76,0.849761,"Mar 09, 2018",0.856182,0.751485,32294700000,0.826122,989203000
77,0.825857,"Mar 08, 2018",0.888562,0.825387,34108000000,0.872508,499496000
78,0.87121,"Mar 07, 2018",0.930659,0.824895,36135700000,0.924378,809598000
79,0.922887,"Mar 06, 2018",0.991306,0.916863,37311200000,0.954448,875180000
80,0.959368,"Mar 05, 2018",1.08,0.956116,39650700000,1.01,1706820000
81,1.01,"Mar 04, 2018",1.03,0.895618,35417600000,0.906008,797226000
82,0.907804,"Mar 03, 2018",0.926512,0.903604,35526200000,0.908786,280853000
83,0.910144,"Mar 02, 2018",0.933912,0.902286,36226700000,0.926638,271036000
84,0.928347,"Mar 01, 2018",0.953796,0.89063,35346800000,0.904131,475257000
85,0.904583,"Feb 28, 2018",0.95555,0.903787,36932700000,0.944697,329530000
86,0.947305,"Feb 27, 2018",0.97258,0.944977,37503700000,0.959302,312713000
87,0.956859,"Feb 26, 2018",0.970906,0.913403,36893900000,0.943704,458613000
88,0.943487,"Feb 25, 2018",0.967597,0.915279,37217300000,0.951977,360271000
89,0.954402,"Feb 24, 2018",1.01,0.929456,39003300000,0.997659,489920000
90,0.998855,"Feb 23, 2018",1.03,0.898286,36441500000,0.934176,896404000
91,0.941788,"Feb 22, 2018",1.05,0.922458,39487400000,1.01,889707000
92,1.02,"Feb 21, 2018",1.1,0.998881,42207600000,1.08,871526000
93,1.09,"Feb 20, 2018",1.17,1.08,44648100000,1.14,806673000
94,1.14,"Feb 19, 2018",1.17,1.12,43813300000,1.12,556304000
95,1.12,"Feb 18, 2018",1.21,1.09,46997500000,1.2,1113650000
96,1.2,"Feb 17, 2018",1.22,1.13,44370200000,1.14,1186730000
97,1.14,"Feb 16, 2018",1.15,1.11,44663300000,1.14,568339000
98,1.15,"Feb 15, 2018",1.16,1.11,44433600000,1.14,1188530000
99,1.14,"Feb 14, 2018",1.17,1.02,40026500000,1.03,1457600000
100,1.03,"Feb 13, 2018",1.08,1.01,42119800000,1.08,921100000
101,1.08,"Feb 12, 2018",1.11,1.01,39262700000,1.01,1756290000
102,1.0,"Feb 11, 2018",1.08,0.929767,41635500000,1.07,2555310000
103,1.07,"Feb 10, 2018",1.3,0.947251,36951500000,0.947251,4682010000
104,0.954428,"Feb 09, 2018",0.954428,0.77154,31095800000,0.79714,1690340000
105,0.805263,"Feb 08, 2018",0.80697,0.722611,28447500000,0.729252,947315000
106,0.723895,"Feb 07, 2018",0.805478,0.70695,30215600000,0.774576,1133370000
107,0.776393,"Feb 06, 2018",0.786004,0.58836,27506200000,0.705121,2361140000
108,0.691799,"Feb 05, 2018",0.833866,0.675827,32219400000,0.825943,1286180000
109,0.815703,"Feb 04, 2018",0.952947,0.796821,35631700000,0.913418,1190960000
110,0.924043,"Feb 03, 2018",0.974799,0.761635,34795900000,0.891992,1988960000
111,0.884784,"Feb 02, 2018",0.960642,0.635185,37473900000,0.960642,3529760000
112,0.96253,"Feb 01, 2018",1.16,0.930378,44971500000,1.16,1410420000
113,1.16,"Jan 31, 2018",1.19,1.04,43800800000,1.13,1264030000
114,1.14,"Jan 30, 2018",1.33,1.13,51452400000,1.33,1134640000
115,1.32,"Jan 29, 2018",1.41,1.3,54204300000,1.4,1073680000
116,1.4,"Jan 28, 2018",1.44,1.22,47412500000,1.22,1327360000
117,1.22,"Jan 27, 2018",1.24,1.19,47180200000,1.22,689101000
118,1.22,"Jan 26, 2018",1.33,1.14,50706400000,1.31,2037570000
119,1.31,"Jan 25, 2018",1.38,1.29,52811100000,1.36,986068000
120,1.36,"Jan 24, 2018",1.42,1.31,52380100000,1.35,1853440000
121,1.34,"Jan 23, 2018",1.43,1.2,52421300000,1.35,2977080000
122,1.36,"Jan 22, 2018",1.43,1.16,53909800000,1.39,2642510000
123,1.38,"Jan 21, 2018",1.58,1.34,61061900000,1.58,2840750000
124,1.58,"Jan 20, 2018",1.63,1.5,60543000000,1.56,2346450000
125,1.55,"Jan 19, 2018",1.7,1.5,61291900000,1.58,3697430000
126,1.6,"Jan 18, 2018",1.73,1.26,50577100000,1.31,9110440000
127,1.31,"Jan 17, 2018",1.38,0.897797,45854700000,1.18,7251210000
128,1.18,"Jan 16, 2018",1.7,0.909313,65018400000,1.68,5687960000
129,1.68,"Jan 15, 2018",1.9,1.67,71909400000,1.86,1838460000
130,1.86,"Jan 14, 2018",2.02,1.81,78195800000,2.02,1978200000
131,2.02,"Jan 13, 2018",2.12,1.98,79469700000,2.05,2130170000
132,2.04,"Jan 12, 2018",2.16,1.87,75172500000,1.94,3330810000
133,1.95,"Jan 11, 2018",2.25,1.62,76711800000,1.98,6296120000
134,1.97,"Jan 10, 2018",2.16,1.7,82511000000,2.13,4833640000
135,2.1,"Jan 09, 2018",2.53,1.98,94657500000,2.44,3694700000
136,2.46,"Jan 08, 2018",3.36,2.07,130302000000,3.36,3315260000
137,3.38,"Jan 07, 2018",3.49,3.08,119819000000,3.09,2395150000
138,3.09,"Jan 06, 2018",3.24,2.99,117033000000,3.02,2777560000
139,3.05,"Jan 05, 2018",3.56,2.83,127870000000,3.3,6288500000
140,3.2,"Jan 04, 2018",3.84,3.12,120763000000,3.12,8103660000
141,3.11,"Jan 03, 2018",3.28,2.44,95457200000,2.46,6635880000
142,2.48,"Jan 02, 2018",2.49,2.25,91791800000,2.37,3171010000
143,2.39,"Jan 01, 2018",2.39,2.15,88945900000,2.3,1894230000
144,2.3,"Dec 31, 2017",2.39,1.87,81162600000,2.1,4642080000
145,2.16,"Dec 30, 2017",2.85,2.04,85187400000,2.2,8108390000
146,2.21,"Dec 29, 2017",2.27,1.44,55767500000,1.44,7545740000
147,1.43,"Dec 28, 2017",1.5,1.26,53998200000,1.39,2843300000
148,1.4,"Dec 27, 2017",1.47,1.18,45875700000,1.18,2854260000
149,1.19,"Dec 26, 2017",1.19,1.09,43455400000,1.12,938847000
150,1.12,"Dec 25, 2017",1.13,1.0,40506000000,1.05,686014000
151,1.04,"Dec 24, 2017",1.18,0.911226,45541100000,1.18,754959000
152,1.17,"Dec 23, 2017",1.21,1.08,45167600000,1.17,1497590000
153,1.14,"Dec 22, 2017",1.38,0.741013,45189500000,1.17,4644700000
154,1.19,"Dec 21, 2017",1.24,0.782515,30314000000,0.782515,3626110000
155,0.775964,"Dec 20, 2017",0.789044,0.730953,30494300000,0.787171,1007420000
156,0.791257,"Dec 19, 2017",0.863536,0.756724,30117600000,0.777447,1449670000
157,0.778407,"Dec 18, 2017",0.792014,0.689323,28203500000,0.728036,1342720000
158,0.728366,"Dec 17, 2017",0.765981,0.719929,29214200000,0.754125,805200000
159,0.758642,"Dec 16, 2017",0.815923,0.741667,29267100000,0.755493,1334770000
160,0.756181,"Dec 15, 2017",0.86176,0.666114,33383900000,0.86176,3194210000
161,0.864263,"Dec 14, 2017",0.892267,0.466401,18232500000,0.470648,6358700000
162,0.471063,"Dec 13, 2017",0.513768,0.342964,14437600000,0.372689,2738760000
163,0.373541,"Dec 12, 2017",0.434102,0.250961,9772240000,0.252258,1555040000
164,0.251691,"Dec 11, 2017",0.252777,0.235804,9164670000,0.236574,176101000
165,0.237333,"Dec 10, 2017",0.245548,0.229304,9512330000,0.245548,198174000
166,0.244708,"Dec 09, 2017",0.255684,0.240073,9768540000,0.252162,205289000
167,0.252125,"Dec 08, 2017",0.278673,0.222168,8663460000,0.223636,660172000
168,0.222823,"Dec 07, 2017",0.23376,0.22134,9011630000,0.232623,275205000
169,0.232544,"Dec 06, 2017",0.245705,0.227742,9507190000,0.245416,274526000
170,0.246101,"Dec 05, 2017",0.253988,0.245234,9815990000,0.253598,174591000
171,0.253571,"Dec 04, 2017",0.255362,0.24716,9768480000,0.252919,104650000
172,0.252558,"Dec 03, 2017",0.263072,0.247391,9869310000,0.25553,134710000
173,0.255492,"Dec 02, 2017",0.259218,0.250756,9874190000,0.255656,118250000
