Unnamed: 0,Close,Date,High,Low,Market Cap,Open,Volume
0,0.208989,24-May-18,0.213302,0.193109,5271600000.00,0.203324,127678000.00
1,0.202873,23-May-18,0.22615,0.198798,5817850000.00,0.224393,124268000.00
2,0.224408,22-May-18,0.250076,0.223408,6466140000.00,0.249397,78363300.00
3,0.24884,21-May-18,0.261169,0.247134,6640710000.00,0.25613,85090300.00
4,0.256136,20-May-18,0.260785,0.240974,6303990000.00,0.243143,101310000.00
5,0.243271,19-May-18,0.248354,0.238934,6383220000.00,0.246199,57778000.00
6,0.245544,18-May-18,0.246809,0.234781,6295510000.00,0.242816,79212200.00
7,0.243664,17-May-18,0.263111,0.242194,6672380000.00,0.257352,83683800.00
8,0.256375,16-May-18,0.260186,0.24372,6717230000.00,0.259082,108749000.00
9,0.260155,15-May-18,0.27876,0.257697,7110990000.00,0.274269,97408800.00
10,0.273434,14-May-18,0.286088,0.261086,7411300000.00,0.285852,161643000.00
11,0.28589,13-May-18,0.290151,0.264361,7042820000.00,0.27164,179522000.00
12,0.270932,12-May-18,0.28341,0.241278,6809730000.00,0.262649,255481000.00
13,0.260127,11-May-18,0.299462,0.248137,7695080000.00,0.296797,348752000.00
14,0.297089,10-May-18,0.327908,0.296317,8397220000.00,0.323879,122958000.00
15,0.323593,9-May-18,0.328426,0.304458,8515120000.00,0.328426,178122000.00
16,0.328352,8-May-18,0.348219,0.323071,8700990000.00,0.335595,142455000.00
17,0.335176,7-May-18,0.349948,0.323506,9073140000.00,0.349948,171385000.00
18,0.350021,6-May-18,0.365933,0.341467,9487570000.00,0.365933,148186000.00
19,0.366338,5-May-18,0.373605,0.360962,9367930000.00,0.361318,139447000.00
20,0.360182,4-May-18,0.370777,0.350842,9613160000.00,0.370777,171266000.00
21,0.369709,3-May-18,0.389749,0.368789,9642940000.00,0.371926,300814000.00
22,0.37242,2-May-18,0.376704,0.349324,9271580000.00,0.357602,272855000.00
23,0.358693,1-May-18,0.363261,0.323701,8891770000.00,0.342953,365522000.00
24,0.343318,30-Apr-18,0.364297,0.336625,9445160000.00,0.364297,298712000.00
25,0.365057,29-Apr-18,0.387901,0.347508,9351120000.00,0.36067,671887000.00
26,0.357874,28-Apr-18,0.364954,0.28713,7444430000.00,0.28713,636742000.00
